BCM4987s001r_VAxg_01	BCM4987s002r_VAxg_01	BCM4987s003r_VAxg_01	BCM4987s004r_VAxg_01	BCM4987s005r_VAxg_01	BCM4987s006r_VAxg_01	BCM4987s007r_VAxg_01	BCM4987s008r_VAxg_01	BCM4987s009r_VAxg_01	BCM4987s010r_VAxg_01	BCM4987s011r_VAxg_01	BCM4987s012r_VAxg_01
TSPAN6	983	982	594	698	739	681	922	586	1009	858	938	747
TNMD	1	3	1	0	1	0	0	0	0	0	0	1
DPM1	2105	2375	1859	1478	1710	1581	1855	1154	2341	1739	1921	1832
SCYL3	390	367	237	247	237	231	322	216	332	287	256	207
C1orf112	437	384	185	292	353	202	352	299	543	314	435	390
FGR	6	1	2	2	2	2	2	2	1	3	1	2
CFH	338	465	340	359	111	133	167	130	614	225	237	248
FUCA2	5515	6021	3427	3689	3680	3836	4399	2690	5453	3823	4402	3354
GCLC	1018	1137	848	653	726	726	744	467	901	723	771	605
NFYA	905	964	681	565	594	671	745	433	989	674	673	618
STPG1	69	74	36	39	44	36	58	26	52	41	48	30
NIPAL3	276	274	124	116	123	157	193	76	170	131	121	98
LAS1L	2558	2531	1423	1502	1615	1251	1753	1192	2332	1717	1663	1337
ENPP4	407	418	279	232	268	338	362	214	357	333	309	292
SEMA3F	1102	859	701	560	565	501	724	499	927	471	736	590
CFTR	620	950	200	628	366	158	540	280	475	245	377	287
ANKIB1	2638	2875	1883	1760	1897	2018	2241	1243	2590	2121	1932	1666
CYP51A1	107	115	59	88	59	41	68	52	83	63	73	55
KRIT1	1240	1213	735	831	902	792	914	572	1158	948	860	743
RAD52	868	844	617	545	679	542	585	385	795	613	598	533
BAD	326	337	141	195	184	208	239	151	273	237	207	203
LAP3	3350	3482	2061	2096	3091	1990	2797	2720	7497	3181	4588	4650
CD99	5534	5338	3484	3115	4008	3768	4820	2724	4608	3462	3598	3610
HS3ST1	637	662	607	253	632	524	611	360	645	378	526	422
AOC1	11467	11306	7811	5448	9939	9730	11404	5117	7517	10377	6467	4505
WNT16	1	0	0	0	0	1	1	0	2	4	3	1
HECW1	3	2	3	1	1	2	1	1	2	1	2	1
MAD1L1	3986	3904	2334	2323	2609	2177	2768	1896	3658	2248	2818	2174
LASP1	2409	2676	1477	1374	1256	1311	1852	1017	2102	1414	1310	1048
SNX11	231	213	147	132	179	145	181	95	217	168	177	159
TMEM176A	7504	8454	5021	4847	6367	4545	8255	4195	6750	5780	5235	4950
M6PR	4864	5008	3386	3253	3310	3169	4057	2471	4981	3670	3850	2894
KLHL13	416	448	166	203	259	156	284	184	241	437	196	229
